elasticity,seed,policy,reward,revenue,peak_load,load_variance,service_ratio,final_backlog,action,selected_price
1.0,8,TOU rule,1.3240559191258887,2.9071415276067727,0.85,0.1241255750265466,0.9999999998786543,0.0,,
1.0,8,Best constant,1.7112164519063808,2.4704177401036835,0.85,0.11664272102045892,0.9992484184944921,0.006193721701902154,2.0,0.3
1.0,8,Tabular Q-learning,1.7511063216388025,2.5985629583868954,0.85,0.10415663017088812,0.9989685045163257,0.008335944134836765,,
1.0,9,Flat 0.30,1.5515719558728482,2.4911325950776138,0.85,0.11833226853422714,0.9980487367721301,0.01623452826839257,,
1.0,9,TOU rule,1.153795783111805,2.8904054602169325,0.85,0.12536211864250446,0.9999999998798076,1.3877787807814457e-17,,
1.0,9,Best constant,1.5515719558728482,2.4911325950776138,0.85,0.11833226853422714,0.9980487367721301,0.01623452826839257,2.0,0.3
1.0,9,Tabular Q-learning,1.811449947248767,2.686042912607443,0.85,0.10638993944107855,0.999628191205537,0.0029923125426419145,,
2.0,0,Flat 0.30,1.345150207189368,2.3920969251200708,0.85,0.1017740594811372,0.9969371675304985,0.024497002994080294,,
2.0,0,TOU rule,-2.6547275631823397,2.6208886501834323,0.85,0.10910112981662783,0.999999999874971,0.0,,
2.0,0,Best constant,1.4204356585438642,1.5996306840121965,0.85,0.10896525184133009,0.999999999874971,0.0,1.0,0.2
2.0,0,Tabular Q-learning,1.5278863833143492,2.1470786666789468,0.85,0.11998123859870331,0.9999999998798491,0.0,,
2.0,1,Flat 0.30,1.349449675603024,2.463722400604193,0.85,0.10196406937782299,0.9957891374393895,0.034727553346558804,,
2.0,1,TOU rule,-2.421191015580891,2.722436332812948,0.85,0.10798620923565638,0.9999999998787458,1.3877787807814457e-17,,
2.0,1,Best constant,1.429309398123527,1.6494271110721073,0.85,0.10806680638557746,0.9999999998787458,1.3877787807814457e-17,1.0,0.2
2.0,1,Tabular Q-learning,1.3538677351345814,2.2589645394275073,0.85,0.115483278408907,0.999999999878468,0.0,,
2.0,2,Flat 0.30,1.3461179107443473,2.4556656204391323,0.85,0.10408924211079802,0.9967130949401009,0.026993857761755835,,
2.0,2,TOU rule,-2.443309073982999,2.7145622344901974,0.85,0.11217027884371474,0.9999999998782348,0.0,,
2.0,2,Best constant,1.435458925054931,1.6425091851784397,0.85,0.11091336174842877,0.9999999998782351,0.0,1.0,0.2
2.0,2,Tabular Q-learning,1.5081544740584178,2.1939931328258173,0.85,0.10752676499173724,0.9962477259953334,0.03123267932662159,,
2.0,3,Flat 0.30,1.3836400520735832,2.4652955257851388,0.85,0.10481786981731489,0.9975246339618211,0.020392173157363053,,
2.0,3,TOU rule,-2.6302144739809465,2.733069053362261,0.85,0.11339611169652201,0.9999999998786118,0.0,,
2.0,3,Best constant,1.4904559978961367,1.6476087851548984,0.85,0.11189865041633272,0.999999999878612,0.0,1.0,0.2
2.0,3,Tabular Q-learning,1.3780071631761583,2.143990542889714,0.85,0.11644096175904496,0.9999999998781078,0.0,,
2.0,4,Flat 0.30,1.300982173019082,2.436020084870676,0.85,0.10956136550653846,0.9974227070448286,0.02098186676461826,,
2.0,4,TOU rule,-2.398603376326171,2.719276361198992,0.85,0.11335206933833693,0.9999999998771657,0.0,,
2.0,4,Best constant,1.353828709331744,1.6282097632667076,0.85,0.11625999819538267,0.9999999998771657,0.0,1.0,0.2
2.0,4,Tabular Q-learning,1.3983483573017867,2.1370427599043715,0.85,0.11428437858768326,0.9999999998777448,0.0,,
2.0,5,Flat 0.30,1.2013703761931325,2.3882146292135147,0.85,0.10287067195101803,0.9979241053642612,0.016559982239630545,,
2.0,5,TOU rule,-2.2748168134632487,2.666113012056922,0.85,0.1116258568550983,0.9999999998746438,0.0,,
2.0,5,Best constant,1.203636741283284,1.5954550825902694,0.85,0.10938666849430627,0.9999999998746439,0.0,1.0,0.2
2.0,5,Tabular Q-learning,1.4971849457243174,1.9883434164967064,0.85,0.10835979392091878,0.999999999879404,6.938893903907228e-18,,
2.0,6,Flat 0.30,1.3774836342123018,2.5395009386411895,0.85,0.10536209047144218,0.9972040652778987,0.023733953758725335,,
2.0,6,TOU rule,-3.005879095550412,2.789578188774603,0.85,0.11121573248991086,0.9999999998821968,0.0,,
2.0,6,Best constant,1.4206679229211556,1.697747416512539,0.85,0.1112358910792921,0.9999999998821968,0.0,1.0,0.2
2.0,6,Tabular Q-learning,1.3490609482949913,2.1181528780704912,0.85,0.11095426159088854,0.9999999998804951,0.0,,
2.0,7,Flat 0.30,1.2810286015150794,2.3252234354844115,0.85,0.10440117650468805,0.9975017826897399,0.019411538031993338,,
2.0,7,TOU rule,-1.9710256936369575,2.6075815613962576,0.85,0.10826547329549259,0.9999999998713025,0.0,,
2.0,7,Best constant,1.37175160903185,1.5540312645960068,0.85,0.11182347853940283,0.9999999998713026,0.0,1.0,0.2
2.0,7,Tabular Q-learning,1.3854873404282089,2.1766564873322882,0.85,0.10413941220925434,0.9999999998757216,0.0,,
2.0,8,Flat 0.30,1.2421997822410247,2.465852621080541,0.85,0.11327625152289988,0.997401893556599,0.02141078511237686,,
2.0,8,TOU rule,-2.6889804496187084,2.7671844291575005,0.85,0.12181354437273222,0.9999999998786541,0.0,,
2.0,8,Best constant,1.2421997822410247,2.465852621080541,0.85,0.11327625152289988,0.997401893556599,0.02141078511237686,2.0,0.3
2.0,8,Tabular Q-learning,1.4643118117359801,2.1924235749686973,0.85,0.1044166858104378,0.9999999998762593,0.0,,
2.0,9,Flat 0.30,1.1200308926684204,2.4841179572984657,0.85,0.11468982620084217,0.9952383884236615,0.03961665419888388,,
2.0,9,TOU rule,-3.001800885657337,2.7512321777971023,0.85,0.1190733433327384,0.9999999998798078,1.3877787807814457e-17,,
2.0,9,Best constant,1.1200308926684204,2.4841179572984657,0.85,0.11468982620084217,0.9952383884236615,0.03961665419888388,2.0,0.3
2.0,9,Tabular Q-learning,1.3805182290922202,2.18965693283944,0.85,0.10762961767163098,0.9999999998757454,0.0,,
3.0,0,Flat 0.30,0.7606463014288718,2.380026494096389,0.85,0.0976977961174114,0.9919066601170009,0.06473177307301806,,
3.0,0,TOU rule,-13.268365534682268,2.4442889771938727,0.85,0.09957936857079575,0.9999999998749709,0.0,,
